Tick,GlobalTemperature,BlackPopulation,WhitePopulation,GrayPopulation
394,72.44321504978765,0,0,209
395,72.62397726428195,0,0,212
396,72.78568999728536,0,0,213
397,72.9659063354727,0,0,215
398,73.12487192613895,0,0,215
399,73.29999786053024,0,0,216
400,73.46891403042277,0,0,214
401,73.65816373080402,0,0,213
402,73.75115694093982,0,0,215
403,73.78687243635729,0,0,216
404,73.79721800473538,0,0,214
405,73.81852846659812,0,0,215
406,73.82054935446551,0,0,216
407,73.81390597965444,0,0,215
408,73.81360550903221,0,0,215
409,73.81870787923043,0,0,216
410,73.81330255969124,0,0,216
411,73.81095980571938,0,0,216
412,73.80994769398706,0,0,213
413,73.82755333641008,0,0,216
414,73.81679429998051,0,0,216
415,73.81250694156564,0,0,216
416,73.81066196828377,0,0,214
417,73.82545155734505,0,0,210
418,73.85773087746585,0,0,205
419,73.87849262068335,0,0,210
420,73.87438471874829,0,0,209
421,73.87059052174935,0,0,211
422,73.86380169906506,0,0,213
423,73.85626108711354,0,0,215
424,73.83239311326537,0,0,215
425,73.82720688895883,0,0,215
426,73.8249997815391,0,0,214
427,73.83180846936811,0,0,214
428,73.82840569637438,0,0,215
429,73.82523676367491,0,0,215
430,73.81868831909692,0,0,214
431,73.82347849437114,0,0,215
432,73.82308000099097,0,0,216
433,73.81528104876529,0,0,214
434,73.81678081555765,0,0,215
435,73.81998006777148,0,0,216
436,73.8138784350471,0,0,216
437,73.81122890998263,0,0,216
438,73.81007555237775,0,0,214
439,73.82517582121358,0,0,216
440,73.81613804023083,0,0,216
441,73.81225889627517,0,0,216
442,73.81056158519814,0,0,212
443,73.84101848628762,0,0,209
444,73.86695020081861,0,0,204
445,73.88482971884382,0,0,210
446,73.8823939557658,0,0,211
447,73.86404573523977,0,0,210
448,73.85829042146902,0,0,212
449,73.85599047848206,0,0,215
450,73.83203010347425,0,0,215
451,73.8270046979107,0,0,215
452,73.82489459290292,0,0,214
453,73.83175519551065,0,0,213
454,73.83618354271118,0,0,215
455,73.82862275621889,0,0,216
456,73.81775385495615,0,0,214
457,73.82327690443118,0,0,215
458,73.82302045619636,0,0,216
459,73.81524485997411,0,0,216
460,73.81188308717424,0,0,215
461,73.81820106733379,0,0,216
462,73.81312481803685,0,0,216
463,73.8108958374639,0,0,216
464,73.80992491828113,0,0,213
465,73.8275455303838,0,0,216
466,73.81679184171045,0,0,216
467,73.81250631038002,0,0,216
468,73.81066190496068,0,0,214
469,73.82545163367924,0,0,210
470,73.85773096239656,0,0,206
471,73.87605378047542,0,0,211
472,73.86571379175781,0,0,209
473,73.86683153295326,0,0,211
474,73.85678841141282,0,0,213
475,73.85300672975391,0,0,215
476,73.83091906700432,0,0,215
477,73.82653360921344,0,0,216
478,73.81688555100145,0,0,215
479,73.82046147156021,0,0,214
480,73.82342890609239,0,0,215
481,73.8230089788126,0,0,216
482,73.81523315699401,0,0,214
483,73.82748993012571,0,0,215
484,73.82500152329085,0,0,216
485,73.8161162525245,0,0,216
