Tick,GlobalTemperature,BlackPopulation,WhitePopulation,GrayPopulation
608,77.44170648089822,213,0,0
609,77.34576849296327,216,0,0
610,77.2746587897981,215,0,0
611,77.18327695312779,216,0,0
612,77.10238157833645,215,0,0
613,77.0068665039587,215,0,0
614,76.91448704046904,216,0,0
615,76.83295038438723,216,0,0
616,76.74644828019994,215,0,0
617,76.64820096666634,216,0,0
618,76.56387586206219,216,0,0
619,76.47594597040914,215,0,0
620,76.38342268452084,216,0,0
621,76.2950189342951,216,0,0
622,76.20494484244746,216,0,0
623,76.11421762437092,215,0,0
624,76.0136020124626,215,0,0
625,75.91816001205753,213,0,0
626,75.81232293743747,212,0,0
627,75.7050935923796,214,0,0
628,75.62560587085964,210,0,0
629,75.5074024254937,212,0,0
630,75.41666266935079,212,0,0
631,75.32478945934443,216,0,0
632,75.26418912968882,212,0,0
633,75.1602599298239,215,0,0
634,75.07874357716759,213,0,0
635,74.97913966031962,216,0,0
636,74.90449996877564,215,0,0
637,74.80965053247935,216,0,0
638,74.72531350724026,215,0,0
639,74.6263646682907,215,0,0
640,74.5305503606226,216,0,0
641,74.44557331943855,216,0,0
642,74.35562305795769,215,0,0
643,74.25391868785965,216,0,0
644,74.16612704708379,216,0,0
645,74.07472083001203,215,0,0
646,73.97871125379862,216,0,0
647,73.88681113893891,216,0,0
648,73.79323053145121,216,0,0
649,73.69898658610889,215,0,0
650,73.59484398252792,215,0,0
651,73.49586467701533,214,0,0
652,73.38946491271251,212,0,0
653,73.27677457218839,214,0,0
654,73.19966087500393,210,0,0
655,73.07413402852272,212,0,0
656,72.97800740148429,212,0,0
657,72.88173034786298,216,0,0
658,72.81715473652689,212,0,0
659,72.70286941099396,215,0,0
660,72.62113158072776,213,0,0
661,72.51953478620092,216,0,0
662,72.44197840345562,215,0,0
663,72.34379800347511,216,0,0
664,72.25593864329662,215,0,0
665,72.15337440624857,215,0,0
666,72.0538958319478,216,0,0
667,71.96522582128252,216,0,0
668,71.87156318641841,215,0,0
669,71.76613135364121,216,0,0
670,71.67459916380366,216,0,0
671,71.5794402325203,215,0,0
672,71.47966618834614,216,0,0
673,71.38399002138826,216,0,0
674,71.28662183196185,216,0,0
675,71.1885787738309,215,0,0
676,71.08062549889598,215,0,0
677,70.97782392272948,214,0,0
678,70.86759024128834,212,0,0
679,70.75105428666961,215,0,0
680,70.66650125480479,210,0,0
681,70.53869101117184,212,0,0
682,70.43974559376545,212,0,0
683,70.3400742571025,216,0,0
